freq,unit,airpol,src_crf,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,MIO_T,GHG,CRF1,AT	59.33986 	57.11387 	54.89359 	55.09796 	51.36292 	53.1918 	54.42775 	56.20278 	54.9114 	55.25926 	50.26068 	52.17155 	48.47306 	44.58905 	43.10443 
A,MIO_T,GHG,CRF1,BE	99.26363 	89.79709 	88.92666 	88.69095 	82.7348 	86.95597 	85.1062 	84.63747 	85.3087 	85.58275 	78.58053 	81.62764 	76.2762 	73.04704 	72.88184 
A,MIO_T,GHG,CRF1,BG	46.3846 	51.48272 	46.66308 	40.86413 	43.25941 	45.85265 	42.77412 	45.11696 	41.38937 	40.34588 	34.76185 	40.56606 	45.15911 	32.90975 	30.73403 
A,MIO_T,GHG,CRF1,CH	43.08938 	39.02871 	40.42237 	41.36919 	37.33061 	37.01377 	37.42424 	36.45693 	35.17488 	35.06801 	32.65027 	34.15372 	31.23449 	30.43365 	29.85277 
A,MIO_T,GHG,CRF1,CY	7.51935 	7.25735 	6.77028 	5.84503 	5.97582 	6.10138 	6.49206 	6.57316 	6.49876 	6.55232 	6.04269 	6.20366 	6.23359 	6.18532 	6.37421 
A,MIO_T,GHG,CRF1,CZ	110.84087 	108.26895 	104.54781 	99.44809 	96.55285 	97.62139 	98.97798 	99.87263 	97.78924 	92.90273 	83.68654 	87.5536 	86.75828 	76.85189 	72.13947 
A,MIO_T,GHG,CRF1,DE	799.05811 	773.09707 	785.88691 	804.96708 	763.15897 	768.67018 	767.80001 	751.78419 	722.04328 	673.69868 	612.7196 	643.6764 	637.85079 	561.9037 	543.29497 
A,MIO_T,GHG,CRF1,DK	49.25329 	43.94857 	39.40648 	41.20349 	36.93331 	34.54011 	36.18163 	33.81886 	33.81035 	30.22043 	27.30345 	28.58357 	27.43377 	25.01934 	22.71806 
A,MIO_T,GHG,CRF1,EE	18.72659 	18.59359 	17.17176 	18.95552 	18.39897 	15.59373 	17.27498 	18.31881 	17.5181 	12.01081 	9.2051 	10.40524 	12.00082 	8.78347 	8.14035 
A,MIO_T,GHG,CRF1,EL	93.2612 	92.16113 	88.47405 	78.07049 	74.61679 	71.29997 	67.04304 	70.34804 	67.3893 	61.29869 	51.5984 	53.55206 	54.45155 	48.65094 	50.04493 
