freq,wst_oper,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DSP_I,KG_HAB,AL	: 	: 	: 	29 	13 	12 	14 	7 	9 	1 	0 	0 	0 	0 	: 
A,DSP_I,KG_HAB,AT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 i	1 b	1 	0 	0 	: 
A,DSP_I,KG_HAB,BA	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 i	0 i	: 	0 	0 	0 
A,DSP_I,KG_HAB,BE	8 	13 	12 	9 	3 	3 	4 	3 	3 	2 	0 	0 	0 	0 	0 p
A,DSP_I,KG_HAB,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 i	0 	0 	0 	0 	: 
A,DSP_I,KG_HAB,CH	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,DSP_I,KG_HAB,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DSP_I,KG_HAB,CZ	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 b	0 	0 	0 	0 	0 	0 	: 
A,DSP_I,KG_HAB,DE	129 i	128 i	104 i	65 i	66 i	55 i	29 i	7 i	6 i	6 i	7 i	7 i	7 i	7 i	11 i
A,DSP_I,KG_HAB,DK	: 	0 b	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p
A,DSP_I,KG_HAB,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DSP_I,KG_HAB,EL	0 	0 	0 	: 	: 	: 	0 i	0 i	0 i	0 	0 	0 	0 	0 	: 
A,DSP_I,KG_HAB,ES	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 e
A,DSP_I,KG_HAB,EU27_2020	30 i	26 i	20 i	14 i	14 i	18 i	11 i	3 i	2 i	2 i	2 i	3 i	2 i	: 	3 i
A,DSP_I,KG_HAB,FI	21 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	3 	4 	4 
A,DSP_I,KG_HAB,FR	7 e	7 	6 e	6 	5 e	4 	1 e	1 e	1 e	1 e	1 e	1 e	1 e	1 e	1 ep
A,DSP_I,KG_HAB,HR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DSP_I,KG_HAB,HU	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DSP_I,KG_HAB,IE	0 	0 	0 	: 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,DSP_I,KG_HAB,IS	6 	6 	6 	3 	21 	19 	23 	24 	30 	: 	16 	16 	18 	16 	: 
A,DSP_I,KG_HAB,IT	1 	1 	0 	0 	0 	51 b	33 	4 	3 	3 	3 	4 	3 	4 	: 
A,DSP_I,KG_HAB,LT	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DSP_I,KG_HAB,LU	0 	0 	0 	0 	0 	0 	0 b	0 	0 	0 e	0 i	0 	0 	0 	0 e
A,DSP_I,KG_HAB,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 i	0 	0 	0 	: 	0 
A,DSP_I,KG_HAB,ME	: 	: 	0 e	0 e	0 e	0 e	0 e	: 	0 e	0 e	0 e	0 e	0 	0 	0 
A,DSP_I,KG_HAB,MK	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,DSP_I,KG_HAB,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DSP_I,KG_HAB,NL	110 	43 	7 	6 	6 	6 	6 	5 	5 	5 	5 	5 p	5 p	5 	5 
A,DSP_I,KG_HAB,NO	0 	0 	0 	0 	0 b	0 	0 b	0 	0 	0 	0 b	0 	0 	0 	0 
A,DSP_I,KG_HAB,PL	1 	1 	1 	5 be	10 be	3 e	4 e	5 e	5 e	5 e	4 	5 	3 	3 	0 
A,DSP_I,KG_HAB,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DSP_I,KG_HAB,RO	0 b	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	2 	3 	: 
A,DSP_I,KG_HAB,RS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	: 
A,DSP_I,KG_HAB,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	0 e	0 e	0 e	0 e
A,DSP_I,KG_HAB,SI	0 	0 	1 	0 	0 	0 	9 	18 	3 	0 	10 	10 	12 	10 	13 
A,DSP_I,KG_HAB,SK	2 	1 	1 	0 	1 	0 	0 	0 	6 	16 	0 	0 	0 	0 	0 
A,DSP_I,KG_HAB,TR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
A,DSP_I,KG_HAB,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 i	0 i
A,DSP_I,THS_T,AL	: 	: 	: 	83 	38 	36 	41 	20 	26 	2 	1 	0 	0 	0 	: 
A,DSP_I,THS_T,AT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 i	7 b	6 	2 	1 	: 
A,DSP_I,THS_T,BA	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 i	0 	: 	0 	0 	0 
A,DSP_I,THS_T,BE	90 	141 	138 	100 	39 	36 	48 	38 	39 	25 	1 	2 	1 	1 	1 p
A,DSP_I,THS_T,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 i	0 	0 	0 	0 	: 
A,DSP_I,THS_T,CH	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,DSP_I,THS_T,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DSP_I,THS_T,CZ	2 e	3 e	3 e	3 e	4 e	4 e	4 e	4 b	5 	4 	5 	4 	4 	3 	: 
A,DSP_I,THS_T,DE	10534 i	10284 i	8329 i	5236 i	5324 i	4459 i	2392 i	612 i	480 i	484 i	616 i	592 i	565 i	569 i	934 i
A,DSP_I,THS_T,DK	: 	0 b	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p
A,DSP_I,THS_T,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DSP_I,THS_T,EL	0 	0 	0 	: 	: 	: 	0 i	0 i	0 i	0 	0 	0 	0 	0 	: 
A,DSP_I,THS_T,ES	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p	0 e
A,DSP_I,THS_T,EU27_2020	13105 i	11675 i	9037 i	6016 i	6172 i	8028 i	4807 i	1335 i	1077 i	1105 i	1107 i	1173 i	1087 i	: 	1399 i
A,DSP_I,THS_T,FI	115 	0 	0 	0 	0 	0 	0 	0 	1 	1 	2 	6 	17 	20 	21 
A,DSP_I,THS_T,FR	424 e	433 	401 e	369 	306 e	242 	99 e	98 e	53 e	53 e	43 e	43 e	47 e	46 e	45 ep
A,DSP_I,THS_T,HR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DSP_I,THS_T,HU	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	3 	3 	4 	4 
A,DSP_I,THS_T,IE	1 	0 	0 	: 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,DSP_I,THS_T,IS	2 	2 	2 	1 	7 	6 	8 	8 	11 	: 	6 	6 	7 	6 	: 
A,DSP_I,THS_T,IT	53 	41 	0 	0 	0 	3071 b	1999 	256 	180 	178 	158 	208 	189 	227 	: 
A,DSP_I,THS_T,LT	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DSP_I,THS_T,LU	0 	0 	0 	0 	0 	0 	0 b	0 	0 	0 e	0 i	0 	0 	0 	0 e
A,DSP_I,THS_T,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 i	0 	0 	0 	: 	0 
A,DSP_I,THS_T,ME	: 	: 	0 e	0 e	0 e	0 e	0 e	: 	0 e	0 e	0 e	0 e	0 	0 	0 
A,DSP_I,THS_T,MK	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,DSP_I,THS_T,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DSP_I,THS_T,NL	1833 	722 	110 	104 	97 	94 	94 	93 	91 	95 	83 	83 p	81 p	83 	82 
A,DSP_I,THS_T,NO	0 	0 	0 	0 	0 b	0 	0 b	0 	0 	0 	0 b	0 	0 	0 	0 
A,DSP_I,THS_T,PL	39 	45 	51 	203 be	398 be	121 e	152 e	198 e	191 e	179 e	166 	171 	113 	92 	3 
A,DSP_I,THS_T,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DSP_I,THS_T,RO	0 b	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	34 	40 	49 	: 
A,DSP_I,THS_T,RS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	: 
A,DSP_I,THS_T,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	0 e	0 e	0 e	0 e
A,DSP_I,THS_T,SI	1 	0 	1 	1 	0 	0 	19 	37 	7 	1 	21 	21 	25 	21 	27 
A,DSP_I,THS_T,SK	12 	4 	4 	0 	4 	0 	0 	0 	30 	85 	0 	0 	0 	0 	0 
A,DSP_I,THS_T,TR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
A,DSP_I,THS_T,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,DSP_I_RCV_E,KG_HAB,AL	: 	: 	: 	32 	15 	20 	21 	15 	22 	4 	4 	6 	13 	14 	: 
A,DSP_I_RCV_E,KG_HAB,AT	196 	200 	201 	202 	205 	212 	212 	221 	224 	226 i	299 b	296 	284 	277 	: 
A,DSP_I_RCV_E,KG_HAB,BA	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	0 	0 	0 
A,DSP_I_RCV_E,KG_HAB,BE	178 	182 	184 	191 	185 	182 	186 	176 	177 	178 	353 	332 	311 	303 	305 p
A,DSP_I_RCV_E,KG_HAB,BG	0 	0 	0 	7 	7 	12 	16 	15 	31 	16 i	20 	13 	15 	16 	: 
A,DSP_I_RCV_E,KG_HAB,CH	352 	345 	348 	346 	341 	344 	343 	337 	335 	333 	333 	336 	324 	325 	: 
A,DSP_I_RCV_E,KG_HAB,CY	0 	0 	0 	0 	5 	0 	2 	2 	5 	6 	9 	15 	16 	16 	17 
A,DSP_I_RCV_E,KG_HAB,CZ	47 e	58 e	62 e	60 e	57 e	56 e	56 e	85 b	83 	82 	69 	69 	67 	76 	: 
A,DSP_I_RCV_E,KG_HAB,DE	223 i	229 i	214 i	207 i	208 i	202 i	202 i	200 i	195 i	198 i	194 i	191 i	183 i	186 i	198 i
A,DSP_I_RCV_E,KG_HAB,DK	: 	474 b	446 	447 	430 	422 	419 	421 	397 	401 	435 	395 	363 	387 	386 p
A,DSP_I_RCV_E,KG_HAB,EE	0 	0 	35 	163 	169 	185 	184 	165 	167 	167 	164 	192 	157 	159 	158 
A,DSP_I_RCV_E,KG_HAB,EL	0 	1 	3 	: 	: 	: 	3 i	5 i	8 i	7 	8 	8 	8 	9 	: 
A,DSP_I_RCV_E,KG_HAB,ES	44 	50 	45 	53 	52 	58 	56 	60 	55 	52 	47 	51 	50 	46 p	47 e
A,DSP_I_RCV_E,KG_HAB,EU27_2020	120 i	125 i	122 i	125 i	128 i	129 i	130 i	132 i	131 i	131 i	138 i	138 i	132 i	: 	135 i
A,DSP_I_RCV_E,KG_HAB,FI	104 	126 	171 	209 	241 	239 	276 	299 	314 	314 	350 	382 	292 	256 	236 
